AdvertiserId,Minimum_Impressions,Budget,Bid,Reward,Performance
1,7770,10000,22,21833,0.9
2,1360,10722,5,13075,0.52
3,5890,17579,100,11259,0.44
4,5691,19474,21,12220,0.43
5,6234,10613,89,15441,0.57
6,10000,13331,17,20610,0.45
7,966,15790,56,23859,0.85
8,500,13116,50,21030,0.63
9,500,20170,7,20988,0.75
10,8822,19004,50,18978,0.56
11,2185,19978,60,21559,0.43
12,1269,10330,83,14935,0.4
13,7449,12212,7,12447,0.46
14,2933,19408,40,13129,0.65
15,5811,10000,45,11898,0.68
16,5551,15493,59,17697,0.69
17,6920,17232,88,16691,0.38
18,1684,22674,75,14503,0.6
19,5055,15614,55,24976,0.45
20,3885,15913,64,21776,0.66
21,6896,15913,65,22351,0.67
22,9166,24102,54,24909,0.42
23,9774,21529,96,13949,0.75
24,3058,20567,40,20659,0.95
25,8349,15611,53,18010,0.73
26,2547,19432,44,20385,0.58
27,3247,10319,63,17439,0.55
28,9667,18085,2,10016,0.57
29,689,22686,79,17959,0.0
30,3234,20106,21,16241,0.64
31,3505,14200,88,24787,0.43
32,5158,14791,50,17906,0.32
33,2399,10329,81,13022,0.63
34,8234,18851,52,23185,0.6
35,1767,21880,9,23303,0.51
36,2028,21310,99,11266,0.41
37,10000,16742,20,10478,0.64
38,4390,14916,1,14296,0.45
39,9338,10000,18,13977,0.58
40,5893,24976,84,16068,0.86
41,9292,11793,30,21736,0.7
42,8933,16457,65,14274,0.39
43,8013,21410,24,24843,0.41
44,3112,18125,88,22740,0.62
45,7541,22749,47,16413,0.39
46,6735,15703,83,17791,0.3
47,5986,20725,94,10485,0.68
48,7599,23963,90,22280,0.65
49,1275,20649,44,24311,0.67
50,8726,16170,29,14673,0.64
51,3652,21292,77,10000,0.59
52,2085,22558,68,19052,0.5
53,4443,20925,17,16900,0.68
54,8055,16644,97,12003,0.83
55,3573,17420,5,11471,0.52
56,1521,22672,92,16727,0.45
57,4343,14155,88,12042,0.43
58,8489,23418,81,21620,0.47
59,7373,18411,50,21312,0.63
60,6175,23752,40,11519,0.28
61,661,21010,46,16489,0.67
62,4797,20098,51,18893,0.7
63,1495,12611,100,14388,0.33
64,8129,15691,12,17856,0.45
65,9967,12593,13,22227,0.61
66,1516,10095,64,21936,0.58
67,8369,19180,8,19365,0.68
68,6939,19304,65,11605,0.58
69,8392,16041,9,15664,0.79
70,7363,20470,92,10000,0.55
71,8416,15063,2,20071,0.45
72,9029,24610,78,15117,0.44
73,1378,18437,13,15379,0.71
74,9768,20350,2,21585,0.6
75,5387,22521,68,10000,0.7
76,5359,13349,76,23421,0.69
77,6831,17644,48,14991,0.3
78,9071,16560,74,16794,0.43
79,9184,20917,3,22834,0.45
80,7708,15247,68,11446,0.48
81,5776,15356,6,24729,0.54
82,2562,14077,87,13306,0.75
83,564,14898,5,21593,0.78
84,8506,25000,3,21975,0.56
85,10000,21391,10,12372,1.0
86,500,20946,43,10150,0.49
87,2527,10000,19,11659,0.61
88,3195,24810,14,16139,0.63
89,10000,18846,21,19070,0.72
90,6118,20634,43,17199,0.72
91,7236,10110,1,12319,0.25
92,891,18281,21,12883,1.0
93,6392,18954,36,10000,0.81
94,4061,23591,100,17803,0.53
95,6684,23644,54,22187,0.77
96,3599,17391,38,20607,0.55
97,6778,21364,17,11515,0.63
98,8892,20371,22,21579,0.43
99,3604,15132,100,10589,0.44
100,7715,12504,45,10587,0.71
101,2954,19656,74,12619,0.73
102,9496,18289,61,15487,0.6
103,3231,15239,11,16223,0.42
104,8654,10292,61,24197,0.61
105,5556,20031,38,19387,0.79
106,8610,11734,66,14353,0.86
107,10000,15120,33,20518,0.55
108,1528,20811,43,25000,0.35
109,7885,16393,31,24044,0.73
110,1002,22939,35,12605,0.56
111,7410,12196,37,12538,0.74
112,9562,13466,47,23896,0.64
113,7438,24379,100,18757,0.47
114,4988,11906,23,11756,0.61
115,706,11721,36,22267,0.8
116,5634,21883,40,11360,0.58
117,6477,23355,90,20760,0.44
118,8221,24497,89,12373,0.36
119,7535,11816,81,11195,0.48
120,1984,18444,15,12131,0.54
121,8358,14227,37,18009,0.72
122,1363,21711,1,21080,0.43
123,3290,20099,22,15643,0.83
124,7908,20102,81,23792,0.4
125,9255,20713,22,19759,0.95
126,5616,15775,81,13410,0.86
127,6519,13849,78,10000,0.62
128,2257,15228,78,24639,0.35
129,8074,16849,17,13343,0.59
130,6874,11058,72,17281,0.54
131,7392,21730,98,24742,0.41
132,2178,24213,90,13097,0.64
133,500,12322,94,19452,0.48
134,5136,18378,86,11333,0.49
135,1559,10948,80,22520,0.57
136,10000,18179,94,17165,0.51
137,3657,20482,80,22836,0.91
138,6415,14359,38,13336,0.52
