advertiser_ids,best_decay_factor,max_reward,decay_factor_results
"[987, 4440, 8637, 5344, 765, 1816, 5430, 1289, 6622, 8480, 2550, 4430, 8950, 7968, 6468]",0.0,3340508.0,"{0.0: 3340508.0, 0.01: 3340508.0, 0.02: 3340508.0, 0.03: 3340508.0, 0.04: 3340508.0, 0.05: 3340508.0, 0.06: 3340508.0, 0.07: 3340508.0, 0.08: 3340508.0, 0.09: 3340508.0, 0.1: 3340508.0, 0.11: 3340508.0, 0.12: 3340508.0, 0.13: 3340508.0, 0.14: 3340508.0, 0.15: 3340508.0, 0.16: 3340508.0, 0.17: 3340508.0, 0.18: 3340508.0, 0.19: 3340508.0, 0.2: 3340508.0, 0.21: 3340508.0, 0.22: 3340508.0, 0.23: 3340508.0, 0.24: 3340508.0, 0.25: 3340508.0, 0.26: 3340508.0, 0.27: 3340508.0, 0.28: 3340508.0, 0.29: 3340508.0, 0.3: 3340508.0, 0.31: 3340508.0, 0.32: 3340508.0, 0.33: 3340508.0, 0.34: 3340508.0, 0.35000000000000003: 3340508.0, 0.36: 3340508.0, 0.37: 3340508.0, 0.38: 3340508.0, 0.39: 3340508.0, 0.4: 3340508.0, 0.41000000000000003: 3340508.0, 0.42: 3340508.0, 0.43: 3340508.0, 0.44: 3340508.0, 0.45: 3340508.0, 0.46: 3340508.0, 0.47000000000000003: 3340508.0, 0.48: 3340508.0, 0.49: 3340508.0, 0.5: 3340508.0, 0.51: 3340508.0, 0.52: 3340508.0, 0.53: 3340508.0, 0.54: 3340508.0, 0.55: 3340508.0, 0.56: 3340508.0, 0.5700000000000001: 3340508.0, 0.58: 3340508.0, 0.59: 3340508.0, 0.6: 3340508.0, 0.61: 3340508.0, 0.62: 3340508.0, 0.63: 3340508.0, 0.64: 3340508.0, 0.65: 3340508.0, 0.66: 3340508.0, 0.67: 3340508.0, 0.68: 3340508.0, 0.6900000000000001: 3340508.0, 0.7000000000000001: 3340508.0, 0.71: 3340508.0, 0.72: 3340508.0, 0.73: 3340508.0, 0.74: 3340508.0, 0.75: 3340508.0, 0.76: 3340508.0, 0.77: 3340508.0, 0.78: 3340508.0, 0.79: 3340508.0, 0.8: 3340508.0, 0.81: 3340508.0, 0.8200000000000001: 3340508.0, 0.8300000000000001: 3340508.0, 0.84: 3340508.0, 0.85: 3340508.0, 0.86: 3340508.0, 0.87: 3340508.0, 0.88: 3340508.0, 0.89: 3340508.0, 0.9: 3340508.0, 0.91: 3340508.0, 0.92: 3340508.0, 0.93: 3340508.0, 0.9400000000000001: 3340508.0, 0.9500000000000001: 3340508.0, 0.96: 3340508.0, 0.97: 3340508.0, 0.98: 3340508.0, 0.99: 3340508.0, 1.0: 3340508.0}"
"[425, 6331, 532, 3586, 9682, 1963, 6033, 3616, 1354, 8933, 1778, 7998]",0.0,3614480.0,"{0.0: 3614480.0, 0.01: 3614480.0, 0.02: 3614480.0, 0.03: 3614480.0, 0.04: 3614480.0, 0.05: 3614480.0, 0.06: 3614480.0, 0.07: 3614480.0, 0.08: 3614480.0, 0.09: 3614480.0, 0.1: 3614480.0, 0.11: 3614480.0, 0.12: 3614480.0, 0.13: 3614480.0, 0.14: 3614480.0, 0.15: 3614480.0, 0.16: 3614480.0, 0.17: 3614480.0, 0.18: 3614480.0, 0.19: 3614480.0, 0.2: 3614480.0, 0.21: 3614480.0, 0.22: 3614480.0, 0.23: 3614480.0, 0.24: 3614480.0, 0.25: 3614480.0, 0.26: 3614480.0, 0.27: 3614480.0, 0.28: 3614480.0, 0.29: 3614480.0, 0.3: 3614480.0, 0.31: 3614480.0, 0.32: 3614480.0, 0.33: 3614480.0, 0.34: 3614480.0, 0.35000000000000003: 3614480.0, 0.36: 3614480.0, 0.37: 3614480.0, 0.38: 3614480.0, 0.39: 3614480.0, 0.4: 3614480.0, 0.41000000000000003: 3614480.0, 0.42: 3614480.0, 0.43: 3614480.0, 0.44: 3614480.0, 0.45: 3597283.0, 0.46: 3614480.0, 0.47000000000000003: 3614480.0, 0.48: 3614480.0, 0.49: 3614480.0, 0.5: 3614480.0, 0.51: 3614480.0, 0.52: 3614480.0, 0.53: 3614480.0, 0.54: 3614480.0, 0.55: 3614480.0, 0.56: 3614480.0, 0.5700000000000001: 3614480.0, 0.58: 3614480.0, 0.59: 3614480.0, 0.6: 3614480.0, 0.61: 3614480.0, 0.62: 3614480.0, 0.63: 3614480.0, 0.64: 3614480.0, 0.65: 3614480.0, 0.66: 3614480.0, 0.67: 3614480.0, 0.68: 3614480.0, 0.6900000000000001: 3614480.0, 0.7000000000000001: 3614480.0, 0.71: 3614480.0, 0.72: 3614480.0, 0.73: 3614480.0, 0.74: 3614480.0, 0.75: 3614480.0, 0.76: 3614480.0, 0.77: 3614480.0, 0.78: 3614480.0, 0.79: 3614480.0, 0.8: 3614480.0, 0.81: 3614480.0, 0.8200000000000001: 3614480.0, 0.8300000000000001: 3614480.0, 0.84: 3614480.0, 0.85: 3614480.0, 0.86: 3614480.0, 0.87: 3614480.0, 0.88: 3614480.0, 0.89: 3614480.0, 0.9: 3614480.0, 0.91: 3614480.0, 0.92: 3614480.0, 0.93: 3614480.0, 0.9400000000000001: 3614480.0, 0.9500000000000001: 3614480.0, 0.96: 3614480.0, 0.97: 3614480.0, 0.98: 3614480.0, 0.99: 3614480.0, 1.0: 3614480.0}"
"[1855, 7584, 2840, 7203, 1397, 2556, 9791, 677, 2832, 8859, 1856, 818, 7078, 9075]",0.0,3465189.0,"{0.0: 3465189.0, 0.01: 3465189.0, 0.02: 3465189.0, 0.03: 3465189.0, 0.04: 3465189.0, 0.05: 3465189.0, 0.06: 3465189.0, 0.07: 3465189.0, 0.08: 3465189.0, 0.09: 3465189.0, 0.1: 3465189.0, 0.11: 3465189.0, 0.12: 3465189.0, 0.13: 3465189.0, 0.14: 3465189.0, 0.15: 3465189.0, 0.16: 3465189.0, 0.17: 3465189.0, 0.18: 3465189.0, 0.19: 3465189.0, 0.2: 3465189.0, 0.21: 3465189.0, 0.22: 3465189.0, 0.23: 3465189.0, 0.24: 3465189.0, 0.25: 3465189.0, 0.26: 3465189.0, 0.27: 3465189.0, 0.28: 3465189.0, 0.29: 3465189.0, 0.3: 3465189.0, 0.31: 3465189.0, 0.32: 3465189.0, 0.33: 3465189.0, 0.34: 3465189.0, 0.35000000000000003: 3465189.0, 0.36: 3465189.0, 0.37: 3465189.0, 0.38: 3465189.0, 0.39: 3465189.0, 0.4: 3465189.0, 0.41000000000000003: 3465189.0, 0.42: 3465189.0, 0.43: 3465189.0, 0.44: 3465189.0, 0.45: 3465189.0, 0.46: 3465189.0, 0.47000000000000003: 3465189.0, 0.48: 3465189.0, 0.49: 3465189.0, 0.5: 3465189.0, 0.51: 3465189.0, 0.52: 3465189.0, 0.53: 3465189.0, 0.54: 3465189.0, 0.55: 3465189.0, 0.56: 3465189.0, 0.5700000000000001: 3465189.0, 0.58: 3465189.0, 0.59: 3465189.0, 0.6: 3465189.0, 0.61: 3465189.0, 0.62: 3465189.0, 0.63: 3465189.0, 0.64: 3465189.0, 0.65: 3465189.0, 0.66: 3465189.0, 0.67: 3465189.0, 0.68: 3465189.0, 0.6900000000000001: 3465189.0, 0.7000000000000001: 3465189.0, 0.71: 3465189.0, 0.72: 3465189.0, 0.73: 3465189.0, 0.74: 3465189.0, 0.75: 3465189.0, 0.76: 3465189.0, 0.77: 3465189.0, 0.78: 3465189.0, 0.79: 3465189.0, 0.8: 3465189.0, 0.81: 3465189.0, 0.8200000000000001: 3465189.0, 0.8300000000000001: 3465189.0, 0.84: 3465189.0, 0.85: 3465189.0, 0.86: 3465189.0, 0.87: 3465189.0, 0.88: 3465189.0, 0.89: 3465189.0, 0.9: 3465189.0, 0.91: 3465189.0, 0.92: 3465189.0, 0.93: 3465189.0, 0.9400000000000001: 3465189.0, 0.9500000000000001: 3465189.0, 0.96: 3465189.0, 0.97: 3465189.0, 0.98: 3465189.0, 0.99: 3465189.0, 1.0: 3465189.0}"
"[6457, 7771, 5789, 8656, 6286, 6006, 8836, 7939, 5407, 8756, 2572, 5071, 5056, 2373, 255, 7187, 5361, 3438, 1663, 7273, 3927, 9340, 5999, 9863, 1976, 9733, 1573, 1883, 6, 6159, 8543, 9050, 1186, 8969, 2462, 9096, 4920, 4378, 2321, 308, 5447, 5193, 537]",0.71,6991848.0,"{0.0: 5459284.0, 0.01: 5817141.0, 0.02: 6227141.0, 0.03: 4662970.0, 0.04: 5798191.0, 0.05: 6048827.0, 0.06: 5449260.0, 0.07: 5616144.0, 0.08: 5378013.0, 0.09: 5906172.0, 0.1: 5546999.0, 0.11: 5261991.0, 0.12: 6088229.0, 0.13: 5881036.0, 0.14: 5803977.0, 0.15: 6115013.0, 0.16: 5245463.0, 0.17: 5766340.0, 0.18: 5212762.0, 0.19: 5935074.0, 0.2: 6240880.0, 0.21: 5716226.0, 0.22: 5989856.0, 0.23: 6268895.0, 0.24: 6102112.0, 0.25: 5781890.0, 0.26: 5500097.0, 0.27: 5473151.0, 0.28: 6122585.0, 0.29: 5523268.0, 0.3: 5221185.0, 0.31: 5749801.0, 0.32: 5301766.0, 0.33: 5592536.0, 0.34: 5659292.0, 0.35000000000000003: 6497531.0, 0.36: 5168439.0, 0.37: 6149211.0, 0.38: 6098982.0, 0.39: 5968347.0, 0.4: 5937346.0, 0.41000000000000003: 5830914.0, 0.42: 5400656.0, 0.43: 5948797.0, 0.44: 5412987.0, 0.45: 5681098.0, 0.46: 5307784.0, 0.47000000000000003: 5578892.0, 0.48: 6158587.0, 0.49: 5587741.0, 0.5: 5559613.0, 0.51: 6266766.0, 0.52: 5598204.0, 0.53: 5778383.0, 0.54: 5127451.0, 0.55: 5732698.0, 0.56: 5575427.0, 0.5700000000000001: 6258038.0, 0.58: 5726434.0, 0.59: 5808329.0, 0.6: 5908105.0, 0.61: 5646601.0, 0.62: 5638344.0, 0.63: 5440090.0, 0.64: 5972164.0, 0.65: 5591073.0, 0.66: 5422759.0, 0.67: 6048561.0, 0.68: 6578100.0, 0.6900000000000001: 6744187.0, 0.7000000000000001: 5969252.0, 0.71: 6991848.0, 0.72: 5914721.0, 0.73: 5694920.0, 0.74: 5601321.0, 0.75: 6169784.0, 0.76: 6051289.0, 0.77: 5814607.0, 0.78: 5710938.0, 0.79: 6390411.0, 0.8: 5572485.0, 0.81: 5266611.0, 0.8200000000000001: 6124308.0, 0.8300000000000001: 6046089.0, 0.84: 6516078.0, 0.85: 6105120.0, 0.86: 6294284.0, 0.87: 6325997.0, 0.88: 6186083.0, 0.89: 6022129.0, 0.9: 6528356.0, 0.91: 5735278.0, 0.92: 5256501.0, 0.93: 5936942.0, 0.9400000000000001: 6228810.0, 0.9500000000000001: 5929594.0, 0.96: 5304733.0, 0.97: 5620437.0, 0.98: 5799336.0, 0.99: 5580308.0, 1.0: 5661533.0}"
"[7968, 464, 3904, 2378, 5823, 9392, 9752, 3046, 6365, 5203, 6237, 9130, 3830, 7136, 3502, 6523]",0.0,3117139.0,"{0.0: 3117139.0, 0.01: 3117139.0, 0.02: 3117139.0, 0.03: 3117139.0, 0.04: 3117139.0, 0.05: 3117139.0, 0.06: 3025606.0, 0.07: 3051708.0, 0.08: 3117139.0, 0.09: 3021260.0, 0.1: 3017493.0, 0.11: 3117139.0, 0.12: 3117139.0, 0.13: 3117139.0, 0.14: 3117139.0, 0.15: 3117139.0, 0.16: 3117139.0, 0.17: 3117139.0, 0.18: 2996791.0, 0.19: 3117139.0, 0.2: 3117139.0, 0.21: 3117139.0, 0.22: 3117139.0, 0.23: 3117139.0, 0.24: 3117139.0, 0.25: 3117139.0, 0.26: 3081812.0, 0.27: 3117139.0, 0.28: 3082996.0, 0.29: 3117139.0, 0.3: 3078659.0, 0.31: 3117139.0, 0.32: 3117139.0, 0.33: 3117139.0, 0.34: 3117139.0, 0.35000000000000003: 3004681.0, 0.36: 3117139.0, 0.37: 3117139.0, 0.38: 2992208.0, 0.39: 3117139.0, 0.4: 3022579.0, 0.41000000000000003: 3117139.0, 0.42: 3117139.0, 0.43: 3096940.0, 0.44: 3097827.0, 0.45: 3080368.0, 0.46: 3117139.0, 0.47000000000000003: 3117139.0, 0.48: 3051946.0, 0.49: 3081146.0, 0.5: 3117139.0, 0.51: 3117139.0, 0.52: 3117139.0, 0.53: 3084203.0, 0.54: 3117139.0, 0.55: 3117139.0, 0.56: 3026231.0, 0.5700000000000001: 3049478.0, 0.58: 3117139.0, 0.59: 3117139.0, 0.6: 3117139.0, 0.61: 3098114.0, 0.62: 3117139.0, 0.63: 3117139.0, 0.64: 3117139.0, 0.65: 3117139.0, 0.66: 3117139.0, 0.67: 3117139.0, 0.68: 3117139.0, 0.6900000000000001: 3097458.0, 0.7000000000000001: 3117139.0, 0.71: 3117139.0, 0.72: 3117139.0, 0.73: 3117139.0, 0.74: 3117139.0, 0.75: 3117139.0, 0.76: 2923193.0, 0.77: 3117139.0, 0.78: 3117139.0, 0.79: 3117139.0, 0.8: 3117139.0, 0.81: 3021714.0, 0.8200000000000001: 3117139.0, 0.8300000000000001: 3117139.0, 0.84: 3117139.0, 0.85: 3117139.0, 0.86: 3117139.0, 0.87: 3117139.0, 0.88: 3117139.0, 0.89: 3117139.0, 0.9: 2971433.0, 0.91: 3082573.0, 0.92: 3117139.0, 0.93: 3117139.0, 0.9400000000000001: 3117139.0, 0.9500000000000001: 3117139.0, 0.96: 3117139.0, 0.97: 3117139.0, 0.98: 3117139.0, 0.99: 3117139.0, 1.0: 3117139.0}"
"[3500, 3859, 2359, 4420, 1855, 7475, 3371, 2789, 948, 4415, 8354, 5744, 1918, 6780, 4525, 355, 5254, 3817, 3152, 1554, 8751, 9416, 6930, 2530, 6786, 2111, 6910, 1636, 2775, 3715, 4075, 4038, 8211]",0.47000000000000003,6624460.0,"{0.0: 5854218.0, 0.01: 6217281.0, 0.02: 5351944.0, 0.03: 6190671.0, 0.04: 5205424.0, 0.05: 6345979.0, 0.06: 5796182.0, 0.07: 5878078.0, 0.08: 5353349.0, 0.09: 5432175.0, 0.1: 5436868.0, 0.11: 5776528.0, 0.12: 6075441.0, 0.13: 5915749.0, 0.14: 6095933.0, 0.15: 6376078.0, 0.16: 4872170.0, 0.17: 5913548.0, 0.18: 5717909.0, 0.19: 5959863.0, 0.2: 5885020.0, 0.21: 5671659.0, 0.22: 5440967.0, 0.23: 5923482.0, 0.24: 5399755.0, 0.25: 5946570.0, 0.26: 5606186.0, 0.27: 5594389.0, 0.28: 5317979.0, 0.29: 5509032.0, 0.3: 4931614.0, 0.31: 5411419.0, 0.32: 5412729.0, 0.33: 5486220.0, 0.34: 5746922.0, 0.35000000000000003: 4904568.0, 0.36: 5705785.0, 0.37: 6552734.0, 0.38: 5996373.0, 0.39: 5431784.0, 0.4: 5688585.0, 0.41000000000000003: 4918048.0, 0.42: 5630966.0, 0.43: 5609415.0, 0.44: 6612762.0, 0.45: 5292358.0, 0.46: 5523568.0, 0.47000000000000003: 6624460.0, 0.48: 5426341.0, 0.49: 5389438.0, 0.5: 5457986.0, 0.51: 6305125.0, 0.52: 5587894.0, 0.53: 5626282.0, 0.54: 5702082.0, 0.55: 5522270.0, 0.56: 5684855.0, 0.5700000000000001: 5732810.0, 0.58: 5758377.0, 0.59: 4999860.0, 0.6: 5343038.0, 0.61: 6152482.0, 0.62: 5958286.0, 0.63: 5930200.0, 0.64: 5596397.0, 0.65: 5298449.0, 0.66: 6090169.0, 0.67: 6022461.0, 0.68: 5801947.0, 0.6900000000000001: 6154792.0, 0.7000000000000001: 5982915.0, 0.71: 6597611.0, 0.72: 5705545.0, 0.73: 5773063.0, 0.74: 6184629.0, 0.75: 5671442.0, 0.76: 6004403.0, 0.77: 5434938.0, 0.78: 5291331.0, 0.79: 5712757.0, 0.8: 5470904.0, 0.81: 5932120.0, 0.8200000000000001: 5618563.0, 0.8300000000000001: 5369255.0, 0.84: 6112912.0, 0.85: 5497926.0, 0.86: 5436225.0, 0.87: 5719948.0, 0.88: 5240861.0, 0.89: 6331568.0, 0.9: 6541477.0, 0.91: 5477872.0, 0.92: 5259142.0, 0.93: 5966457.0, 0.9400000000000001: 5486846.0, 0.9500000000000001: 5398744.0, 0.96: 5578042.0, 0.97: 5941635.0, 0.98: 5637344.0, 0.99: 5009999.0, 1.0: 5645634.0}"
"[4656, 6065, 4930, 6411, 7741, 9444, 2435, 7105, 8621, 9647, 6043, 5857, 7662, 7100, 3156, 799, 7517, 9683, 7070, 9360, 4672, 738, 6837, 3504, 7273, 4516, 2944, 3762, 4529, 5067, 6950, 7250, 2233, 557, 3794, 676, 9958, 4675, 7247, 9942, 7624, 7541, 5741, 1549, 2200, 1811]",0.04,6953397.0,"{0.0: 5894004.0, 0.01: 5283956.0, 0.02: 5991139.0, 0.03: 6089776.0, 0.04: 6953397.0, 0.05: 4869259.0, 0.06: 5726181.0, 0.07: 5363494.0, 0.08: 6140323.0, 0.09: 5850802.0, 0.1: 6502098.0, 0.11: 6417560.0, 0.12: 5804990.0, 0.13: 6193411.0, 0.14: 5743058.0, 0.15: 5142980.0, 0.16: 6646706.0, 0.17: 5084595.0, 0.18: 6178956.0, 0.19: 6038355.0, 0.2: 5597572.0, 0.21: 5455094.0, 0.22: 6070813.0, 0.23: 5716309.0, 0.24: 6271054.0, 0.25: 5892219.0, 0.26: 5390964.0, 0.27: 6109637.0, 0.28: 5180701.0, 0.29: 5211016.0, 0.3: 5775126.0, 0.31: 6386461.0, 0.32: 6502986.0, 0.33: 5764397.0, 0.34: 5715555.0, 0.35000000000000003: 5290770.0, 0.36: 5766026.0, 0.37: 6204196.0, 0.38: 5766412.0, 0.39: 5205054.0, 0.4: 4911183.0, 0.41000000000000003: 5974113.0, 0.42: 5844509.0, 0.43: 6425295.0, 0.44: 5206403.0, 0.45: 5996309.0, 0.46: 5128471.0, 0.47000000000000003: 6192892.0, 0.48: 5832942.0, 0.49: 6253140.0, 0.5: 5891619.0, 0.51: 5807436.0, 0.52: 5741374.0, 0.53: 6207982.0, 0.54: 5811793.0, 0.55: 6057553.0, 0.56: 5866509.0, 0.5700000000000001: 6159253.0, 0.58: 5525646.0, 0.59: 5304477.0, 0.6: 5312050.0, 0.61: 5683612.0, 0.62: 6557424.0, 0.63: 5773674.0, 0.64: 5744421.0, 0.65: 5760224.0, 0.66: 6180331.0, 0.67: 5383672.0, 0.68: 6516765.0, 0.6900000000000001: 4936343.0, 0.7000000000000001: 6518288.0, 0.71: 5555308.0, 0.72: 5770837.0, 0.73: 6004457.0, 0.74: 5364635.0, 0.75: 5419099.0, 0.76: 5991097.0, 0.77: 6079769.0, 0.78: 6655957.0, 0.79: 5859186.0, 0.8: 5411156.0, 0.81: 6159269.0, 0.8200000000000001: 5466348.0, 0.8300000000000001: 6449969.0, 0.84: 5177393.0, 0.85: 5902184.0, 0.86: 6937680.0, 0.87: 5976513.0, 0.88: 5881519.0, 0.89: 6354622.0, 0.9: 4963070.0, 0.91: 5657441.0, 0.92: 5724661.0, 0.93: 5609972.0, 0.9400000000000001: 4936051.0, 0.9500000000000001: 5889207.0, 0.96: 6516283.0, 0.97: 6144256.0, 0.98: 6388954.0, 0.99: 5423535.0, 1.0: 5949542.0}"
"[6164, 5782, 4512, 40, 639, 6672, 2586, 3778, 5302, 1816, 6873, 4266, 310, 6398, 3070, 6120, 9687, 4695, 6432, 5930, 2804, 7422, 8443, 9551, 4580, 6473, 381, 3954, 4800, 1836, 6435, 3280, 5064]",0.88,7776038.0,"{0.0: 5542309.0, 0.01: 5850112.0, 0.02: 5891355.0, 0.03: 5953672.0, 0.04: 6983294.0, 0.05: 6355941.0, 0.06: 6058564.0, 0.07: 6279591.0, 0.08: 6423552.0, 0.09: 6602836.0, 0.1: 6247094.0, 0.11: 6744430.0, 0.12: 6089499.0, 0.13: 6436374.0, 0.14: 6823730.0, 0.15: 6737432.0, 0.16: 6392426.0, 0.17: 5748090.0, 0.18: 6151483.0, 0.19: 6499466.0, 0.2: 6160898.0, 0.21: 6921980.0, 0.22: 5982856.0, 0.23: 7155854.0, 0.24: 5818659.0, 0.25: 6082688.0, 0.26: 7188731.0, 0.27: 6309321.0, 0.28: 6442375.0, 0.29: 5821878.0, 0.3: 6807482.0, 0.31: 7041868.0, 0.32: 6553575.0, 0.33: 6359407.0, 0.34: 6314052.0, 0.35000000000000003: 6423694.0, 0.36: 6571289.0, 0.37: 5752904.0, 0.38: 5755107.0, 0.39: 6831780.0, 0.4: 5849039.0, 0.41000000000000003: 6266530.0, 0.42: 6417191.0, 0.43: 6635666.0, 0.44: 6607268.0, 0.45: 5896386.0, 0.46: 6304463.0, 0.47000000000000003: 6525707.0, 0.48: 6082581.0, 0.49: 6142762.0, 0.5: 6422856.0, 0.51: 6095867.0, 0.52: 6534292.0, 0.53: 6658702.0, 0.54: 6637866.0, 0.55: 6167258.0, 0.56: 7225441.0, 0.5700000000000001: 6169915.0, 0.58: 6400572.0, 0.59: 6771043.0, 0.6: 6607532.0, 0.61: 6188007.0, 0.62: 6802133.0, 0.63: 6228654.0, 0.64: 6147360.0, 0.65: 6536396.0, 0.66: 6192825.0, 0.67: 7132198.0, 0.68: 7439741.0, 0.6900000000000001: 6183127.0, 0.7000000000000001: 6406421.0, 0.71: 6608214.0, 0.72: 6418933.0, 0.73: 7071026.0, 0.74: 6533996.0, 0.75: 5929167.0, 0.76: 6367821.0, 0.77: 5903872.0, 0.78: 6550686.0, 0.79: 7118470.0, 0.8: 5569585.0, 0.81: 5973962.0, 0.8200000000000001: 6346717.0, 0.8300000000000001: 6279717.0, 0.84: 6245061.0, 0.85: 6992381.0, 0.86: 6523704.0, 0.87: 7305884.0, 0.88: 7776038.0, 0.89: 6045357.0, 0.9: 6049569.0, 0.91: 6198221.0, 0.92: 7183219.0, 0.93: 4722031.0, 0.9400000000000001: 6346810.0, 0.9500000000000001: 6797623.0, 0.96: 6026301.0, 0.97: 6747230.0, 0.98: 6780706.0, 0.99: 6038507.0, 1.0: 6340241.0}"
"[7471, 3349, 8618, 2737, 1034, 5178, 9404, 2950, 2348, 8300, 3625, 1375, 7379, 459, 2274, 8201, 4798, 8061, 9061, 4915, 359, 4840, 318, 1323, 8549, 4704, 7533, 6059, 5947, 7937, 624, 394, 3185, 7825, 1351, 8910, 7485, 9980, 5199, 2613, 3831, 3136]",0.85,7101596.0,"{0.0: 6001385.0, 0.01: 6293418.0, 0.02: 6150674.0, 0.03: 6426099.0, 0.04: 6140527.0, 0.05: 6286925.0, 0.06: 6482694.0, 0.07: 5761570.0, 0.08: 5706413.0, 0.09: 6241094.0, 0.1: 6311652.0, 0.11: 7020064.0, 0.12: 5950989.0, 0.13: 5844568.0, 0.14: 6489975.0, 0.15: 6318595.0, 0.16: 5983009.0, 0.17: 6246386.0, 0.18: 5935342.0, 0.19: 6421222.0, 0.2: 6430639.0, 0.21: 6327861.0, 0.22: 6036858.0, 0.23: 6217912.0, 0.24: 6302202.0, 0.25: 5923309.0, 0.26: 5527231.0, 0.27: 6612521.0, 0.28: 6798800.0, 0.29: 6584059.0, 0.3: 5760580.0, 0.31: 6440989.0, 0.32: 6503906.0, 0.33: 6407430.0, 0.34: 6322689.0, 0.35000000000000003: 6147967.0, 0.36: 6793518.0, 0.37: 5887502.0, 0.38: 5873249.0, 0.39: 5582697.0, 0.4: 6164920.0, 0.41000000000000003: 6366608.0, 0.42: 6361721.0, 0.43: 6222970.0, 0.44: 6525750.0, 0.45: 5941287.0, 0.46: 6641376.0, 0.47000000000000003: 6556525.0, 0.48: 6884710.0, 0.49: 6057534.0, 0.5: 6203074.0, 0.51: 6002052.0, 0.52: 6306266.0, 0.53: 6050360.0, 0.54: 6627495.0, 0.55: 6376573.0, 0.56: 5910332.0, 0.5700000000000001: 6174386.0, 0.58: 5786837.0, 0.59: 6229019.0, 0.6: 5831772.0, 0.61: 5725020.0, 0.62: 6558827.0, 0.63: 6465337.0, 0.64: 6214104.0, 0.65: 5903292.0, 0.66: 5862537.0, 0.67: 6170862.0, 0.68: 5848368.0, 0.6900000000000001: 5895683.0, 0.7000000000000001: 6302141.0, 0.71: 5908886.0, 0.72: 6391553.0, 0.73: 6157545.0, 0.74: 6723119.0, 0.75: 6091563.0, 0.76: 6510997.0, 0.77: 5984206.0, 0.78: 6012523.0, 0.79: 5956481.0, 0.8: 6030999.0, 0.81: 6838455.0, 0.8200000000000001: 5355734.0, 0.8300000000000001: 6253517.0, 0.84: 5838906.0, 0.85: 7101596.0, 0.86: 6421264.0, 0.87: 5977160.0, 0.88: 6019355.0, 0.89: 6244345.0, 0.9: 6380604.0, 0.91: 5975977.0, 0.92: 6920187.0, 0.93: 6296275.0, 0.9400000000000001: 6093354.0, 0.9500000000000001: 6044155.0, 0.96: 6399635.0, 0.97: 5771292.0, 0.98: 4954807.0, 0.99: 6266280.0, 1.0: 6181696.0}"
"[6964, 7291, 5754, 3708, 5575, 6547, 5688, 6961, 3347, 8895, 5642, 3699, 2798, 9134, 7057, 9359, 8246, 5984, 5042, 5512, 6618, 5103, 4716]",0.06,4389847.0,"{0.0: 4239995.0, 0.01: 4264462.0, 0.02: 4195999.0, 0.03: 4222344.0, 0.04: 4319684.0, 0.05: 4067961.0, 0.06: 4389847.0, 0.07: 4248575.0, 0.08: 3831142.0, 0.09: 4187220.0, 0.1: 4261937.0, 0.11: 3944927.0, 0.12: 3981006.0, 0.13: 3803774.0, 0.14: 4055764.0, 0.15: 4226780.0, 0.16: 4122025.0, 0.17: 4149054.0, 0.18: 4140790.0, 0.19: 4134036.0, 0.2: 3937444.0, 0.21: 4387079.0, 0.22: 4007303.0, 0.23: 4084274.0, 0.24: 4263260.0, 0.25: 4298912.0, 0.26: 3939417.0, 0.27: 3982709.0, 0.28: 3606915.0, 0.29: 3813774.0, 0.3: 4080642.0, 0.31: 4274897.0, 0.32: 4093210.0, 0.33: 4130178.0, 0.34: 3956574.0, 0.35000000000000003: 4094107.0, 0.36: 4061176.0, 0.37: 4277807.0, 0.38: 3917322.0, 0.39: 4314924.0, 0.4: 4207631.0, 0.41000000000000003: 4036932.0, 0.42: 4023163.0, 0.43: 4125842.0, 0.44: 4048050.0, 0.45: 4237545.0, 0.46: 3795846.0, 0.47000000000000003: 4042848.0, 0.48: 3709660.0, 0.49: 3945762.0, 0.5: 4212418.0, 0.51: 3987333.0, 0.52: 4206331.0, 0.53: 4151719.0, 0.54: 4285682.0, 0.55: 4045568.0, 0.56: 4228700.0, 0.5700000000000001: 4063882.0, 0.58: 4014236.0, 0.59: 4202886.0, 0.6: 3995982.0, 0.61: 4275274.0, 0.62: 4171908.0, 0.63: 4261551.0, 0.64: 4117056.0, 0.65: 3856968.0, 0.66: 4017658.0, 0.67: 4179665.0, 0.68: 4023333.0, 0.6900000000000001: 4256891.0, 0.7000000000000001: 4351493.0, 0.71: 4159898.0, 0.72: 3981095.0, 0.73: 3980654.0, 0.74: 4366644.0, 0.75: 4227127.0, 0.76: 4076843.0, 0.77: 4128220.0, 0.78: 3945113.0, 0.79: 4320748.0, 0.8: 4138495.0, 0.81: 4126549.0, 0.8200000000000001: 4149317.0, 0.8300000000000001: 4061225.0, 0.84: 3987255.0, 0.85: 4098314.0, 0.86: 4043942.0, 0.87: 3997790.0, 0.88: 4319212.0, 0.89: 4108296.0, 0.9: 4196645.0, 0.91: 4009642.0, 0.92: 4204914.0, 0.93: 4096429.0, 0.9400000000000001: 4181926.0, 0.9500000000000001: 3917680.0, 0.96: 4030406.0, 0.97: 4335649.0, 0.98: 4317377.0, 0.99: 4206058.0, 1.0: 4225720.0}"
